Val,EpisodeID,SceneID,VehicleArrayID,VehicleName,x,y,z,rays,LOS
I,14,0,9,flow9.20,692.7193956707499,451.62220412745,1.59,25,LOS=0
V,15,0,0,flow11.30,755.78062919255,621.1933311147,1.59,25,LOS=1
V,15,0,1,flow12.14,752.1681764994,625.56911030065,1.59,25,LOS=1
V,15,0,2,flow2.18,755.2158000105001,487.42601739395,1.59,25,LOS=1
I,15,0,3,flow2.21,695.35722739225,670.6597765245499,3.2,25,LOS=0
V,15,0,4,flow3.12,757.85919143645,497.00399056795004,1.59,25,LOS=0
V,15,0,5,flow3.13,757.33024795295,504.56238188105,3.2,25,LOS=1
I,15,0,6,flow3.7,831.6025510158,363.25907796750005,1.59,25,LOS=0
V,15,0,7,flow3.8,761.3960487480999,446.4637109061,4.3,25,LOS=0
V,15,0,8,flow6.15,760.50237771565,459.2339133554,4.3,25,LOS=0
V,15,0,9,flow8.7,749.44709096445,664.45233679305,1.59,25,LOS=0
I,16,0,0,flow10.50,721.3029466305,446.34307974440003,1.59,25,LOS=0
I,16,0,1,flow11.32,801.4699086858,395.01466380600004,1.59,25,LOS=0
V,16,0,2,flow12.10,750.0985122778,655.14378616355,1.59,25,LOS=1
I,16,0,3,flow12.18,770.5086061294501,421.25256556155,1.59,25,LOS=0
V,16,0,4,flow3.10,759.26341352295,476.93821728265,4.3,22,LOS=0
V,16,0,5,flow5.31,756.06314305285,475.31049845545,3.2,25,LOS=1
V,16,0,6,flow6.17,757.3040090211,504.93732574765,1.59,25,LOS=0
V,16,0,7,flow8.11,752.51556400925,620.60508140335,1.59,25,LOS=1
I,16,0,8,flow8.16,707.87144746755,446.11001106000003,1.59,23,LOS=0
I,16,0,9,flow8.17,683.5851156463,452.88327039895,4.3,0,LOS=0
I,17,0,0,flow10.52,797.5482896829999,393.8783900895,4.3,7,LOS=0
V,17,0,1,flow12.13,750.45199829965,650.09261196345,1.59,25,LOS=0
I,17,0,2,flow12.19,769.7704595513001,424.635841542,1.59,25,LOS=0
V,17,0,3,flow3.13,757.80551295905,497.77103459075,3.2,25,LOS=0
V,17,0,4,flow3.18,753.4903464112,559.43304266715,1.59,25,LOS=1
I,17,0,5,flow4.59,678.63182731395,680.6931196444,1.59,25,LOS=0
I,17,0,6,flow4.61,737.1400129741,680.22888410235,1.59,25,LOS=1
I,17,0,7,flow7.65,687.9464262434501,448.94902740450004,4.3,0,LOS=0
V,17,0,8,flow8.14,754.2768735491,595.43667089875,1.59,25,LOS=1
I,17,0,9,flow9.26,743.04409016075,423.31154949065,1.59,25,LOS=0
I,18,0,0,flow10.56,756.81019667875,427.1880570532,4.3,19,LOS=0
V,18,0,1,flow12.19,756.0425800104,570.20543014185,1.59,25,LOS=0
V,18,0,2,flow2.24,757.44512297155,455.5506101436,1.59,25,LOS=1
V,18,0,3,flow2.25,746.732063528,608.7285653447,1.59,25,LOS=1
V,18,0,4,flow3.9,760.5734725826001,458.21799607615003,1.59,25,LOS=0
V,18,0,5,flow6.20,753.1258722945499,564.6412323571,3.2,25,LOS=1
V,18,0,6,flow6.21,746.4637645432,659.84009372515,1.59,25,LOS=1
V,18,0,7,flow8.11,751.10949226055,640.69728562415,1.59,25,LOS=1
V,18,0,8,flow8.18,755.69446819725,575.17980904365,1.59,25,LOS=0
V,18,0,9,flow8.19,756.43572476065,564.58754853805,1.59,25,LOS=0
I,19,0,0,flow10.60,765.27560003555,422.38314816005004,3.2,25,LOS=0
V,19,0,1,flow11.33,759.31337191055,570.7139832325499,1.59,25,LOS=0
V,19,0,2,flow12.19,755.03475169535,584.6068946074499,1.59,25,LOS=0
V,19,0,3,flow12.21,756.07063103555,569.8045921855501,1.59,25,LOS=0
V,19,0,4,flow2.27,759.0004091771,433.31274597615004,1.59,25,LOS=0
V,19,0,5,flow3.14,757.03122569325,508.83529065309995,4.3,10,LOS=0
V,19,0,6,flow3.18,753.8328570289,554.53870261335,1.59,25,LOS=1
V,19,0,7,flow6.20,753.33555214125,561.6449910169,3.2,25,LOS=1
I,19,0,8,flow6.22,819.71073766965,677.1265936426,1.59,25,LOS=0
V,19,0,9,flow8.17,754.06996723725,598.39327953355,4.3,15,LOS=0
I,20,0,0,flow10.64,670.5707738906,461.3371826415,1.59,25,LOS=0
V,20,0,1,flow12.17,750.1376771671501,654.58413552245,1.59,25,LOS=0
V,20,0,2,flow12.21,755.3337830568,580.33385577575,1.59,25,LOS=1
V,20,0,3,flow3.13,758.14940988135,492.85688479695,3.2,25,LOS=0
V,20,0,4,flow3.21,751.9970351470499,580.77186475235,3.2,25,LOS=1
V,20,0,5,flow6.20,753.33694832315,561.6250401343,3.2,25,LOS=1
V,20,0,6,flow8.17,753.03661659005,613.1594479407499,4.3,15,LOS=0
V,20,0,7,flow8.19,754.49297444235,592.34867536565,1.59,25,LOS=0
I,20,0,8,flow8.23,695.941784253,450.96918414854997,3.2,25,LOS=0
I,20,0,9,flow9.31,738.0382319485,429.77279202335,1.59,25,LOS=0
V,21,0,0,flow12.20,753.9452746039,600.17508750715,1.59,25,LOS=0
V,21,0,1,flow3.14,757.0340139094501,508.79544815555005,4.3,14,LOS=0
V,21,0,2,flow6.17,757.65349087835,499.94336946224996,1.59,25,LOS=0
V,21,0,3,flow6.20,753.33694832315,561.6250401343,3.2,25,LOS=1
V,21,0,4,flow6.21,751.49971996785,587.87830021755,1.59,25,LOS=0
V,21,0,5,flow6.22,750.15980679785,607.02512474765,1.59,25,LOS=1
V,21,0,6,flow6.23,749.8145136997,611.95922533745,1.59,25,LOS=1
V,21,0,7,flow6.24,747.6825299728,642.42442206345,1.59,25,LOS=1
I,21,0,8,flow9.32,768.06746598725,445.6267647264,1.59,25,LOS=0
I,21,0,9,flow9.36,714.48426532855,442.52875254325,1.59,25,LOS=0
I,22,0,0,flow1.61,663.39974930905,670.9133444141,3.2,25,LOS=0
V,22,0,1,flow11.34,755.3489434848,627.36168662655,4.3,16,LOS=0
V,22,0,2,flow12.19,752.61769981005,619.14560156555,1.59,25,LOS=0
I,22,0,3,flow12.23,781.37003906585,410.62383787709996,1.59,25,LOS=0
V,22,0,4,flow3.20,752.49573622805,573.64562530225,1.59,25,LOS=1
V,22,0,5,flow6.21,751.5011161699999,587.8583490461,1.59,25,LOS=0
V,22,0,6,flow8.14,750.342856359,651.65220674455,1.59,25,LOS=0
V,22,0,7,flow8.17,751.6529153206,632.93198693915,4.3,14,LOS=0
V,22,0,8,flow8.20,754.61834498815,590.5571802929001,4.3,11,LOS=0
I,22,0,9,flow8.26,704.9329443294,447.701396096,1.59,25,LOS=0
I,23,0,0,flow10.74,830.39135238415,372.5548241348,1.59,25,LOS=0
V,23,0,1,flow12.25,759.20650926085,524.99414366345,4.3,9,LOS=0
I,23,0,2,flow4.88,770.48532396765,680.23749939755,3.2,25,LOS=0
V,23,0,3,flow5.35,758.7465539570001,436.94243026395,1.59,25,LOS=1
V,23,0,4,flow5.36,745.69733624805,623.5233501376499,1.59,25,LOS=1
V,23,0,5,flow6.21,752.69127874215,570.85140080365,1.59,25,LOS=1
V,23,0,6,flow6.25,748.37170355795,632.57640653455,1.59,25,LOS=1
V,23,0,7,flow8.13,749.7233649925499,660.50449117305,4.3,17,LOS=0
V,23,0,8,flow9.35,760.6344135592,670.2994967862501,1.59,25,LOS=1
V,23,0,9,flow9.37,753.62066269965,652.05708449645,3.2,25,LOS=0
V,24,0,0,flow3.15,758.61408667195,486.2168388804,4.3,12,LOS=0
V,24,0,1,flow3.16,757.84258353965,497.24131078675,3.2,25,LOS=0
V,24,0,2,flow3.28,754.2777898258,500.83791740295,1.59,25,LOS=1
V,24,0,3,flow5.41,752.0076273474,533.2972581031499,4.3,10,LOS=0
I,24,0,4,flow7.78,768.03795735825,408.44316338385,1.59,25,LOS=0
V,24,0,5,flow8.17,750.78959400035,645.26850411205,4.3,24,LOS=0
V,24,0,6,flow8.22,755.6306511778,576.09172878615,1.59,25,LOS=1
V,24,0,7,flow8.24,756.63090006885,561.7985712654499,1.59,25,LOS=0
V,24,0,8,flow8.27,759.26782044245,524.11803134385,1.59,25,LOS=0
I,24,0,9,flow8.29,764.8797046038001,424.04636733940004,1.59,25,LOS=0
V,25,0,0,flow3.15,758.89688238905,482.17580092829996,4.3,13,LOS=0
V,25,0,1,flow3.17,757.5601112783,501.27772668545003,1.59,25,LOS=1
V,25,0,2,flow3.19,755.5131205798,530.52840695065,1.59,25,LOS=1
V,25,0,3,flow3.21,754.66490585,542.6490569742,3.2,25,LOS=1
V,25,0,4,flow5.42,748.36564310345,632.66300801085,1.59,25,LOS=0
I,25,0,5,flow5.43,744.6928346553,637.88596063075,1.59,25,LOS=1
V,25,0,6,flow8.21,754.14878967765,597.2669383128,3.2,25,LOS=0
V,25,0,7,flow8.22,754.64610489445,590.16050230905,1.59,25,LOS=0
V,25,0,8,flow8.23,755.14340975905,583.0542142353,3.2,25,LOS=1
V,25,0,9,flow9.43,763.3185400361999,513.4841504137501,1.59,25,LOS=0
V,26,0,0,flow12.20,751.37873564675,636.8499050717501,1.59,25,LOS=0
V,26,0,1,flow12.22,752.09222138555,626.6544785687499,1.59,25,LOS=0
I,26,0,2,flow2.36,737.7872770036,437.4126236757,4.3,4,LOS=0
V,26,0,3,flow3.22,755.71113504105,527.6988593137,3.2,25,LOS=1
V,26,0,4,flow3.24,754.0645540731,551.22784430635,1.59,25,LOS=1
V,26,0,5,flow6.19,758.88826620695,482.29892273175,1.59,25,LOS=0
V,26,0,6,flow6.22,754.8496840004,540.00865093785,1.59,25,LOS=1
V,26,0,7,flow6.25,752.0348031745,580.23217471035,1.59,25,LOS=1
V,26,0,8,flow8.18,750.34285635565,651.65220679235,1.59,25,LOS=0
V,26,0,9,flow8.28,759.25559405965,524.29274147515,1.59,25,LOS=0
V,27,0,0,flow12.27,758.5371354722499,534.55922800125,4.3,5,LOS=0
V,27,0,1,flow12.28,762.3549768845501,480.00379766285,4.3,14,LOS=0
V,27,0,2,flow5.47,749.2455119688,572.7906622004,1.59,25,LOS=1
V,27,0,3,flow5.49,757.9534833521,676.8893114478001,1.59,25,LOS=0
I,27,0,4,flow6.18,803.4387782932,385.13052485929995,1.59,25,LOS=0
V,27,0,5,flow6.20,761.57975386105,443.8386381461,3.2,25,LOS=1
V,27,0,6,flow6.29,750.41042530955,603.44388622035,4.3,16,LOS=0
V,27,0,7,flow6.30,749.60801192945,614.9100532332,3.2,25,LOS=0
V,27,0,8,flow8.25,755.6428192667499,575.9178516506499,1.59,25,LOS=0
V,27,0,9,flow8.27,757.5723696080499,548.34534722685,1.59,25,LOS=1
I,28,0,0,flow1.76,735.4477484090501,670.3416766801,1.59,25,LOS=1
V,28,0,1,flow12.19,749.7944784210999,659.48830865575,1.59,25,LOS=1
V,28,0,2,flow12.28,762.0108505633,484.9212254754,4.3,13,LOS=0
I,28,0,3,flow12.32,789.47580266245,404.3290569979,1.59,25,LOS=0
I,28,0,4,flow2.42,671.07041012745,670.8524812487,1.59,25,LOS=0
V,28,0,5,flow3.24,759.4473490998,474.30985128525003,1.59,25,LOS=0
I,28,0,6,flow7.88,702.634776255,445.19574509715,1.59,25,LOS=0
V,28,0,7,flow8.20,751.7984807917001,630.8519144427501,4.3,16,LOS=0
V,28,0,8,flow8.34,762.7852161241,473.8558506087,3.2,25,LOS=0
I,28,0,9,flow8.37,748.8165486579001,423.93565280024995,1.59,25,LOS=0
I,29,0,0,flow10.83,815.3134405071,384.26404193409996,3.2,25,LOS=0
I,29,0,1,flow2.41,685.6983057185,459.252408893,3.2,25,LOS=0
I,29,0,2,flow5.53,783.900631898,676.9890049400501,1.59,25,LOS=0
V,29,0,3,flow6.21,762.3444655999,432.91121254334996,1.59,25,LOS=0
V,29,0,4,flow6.23,760.43981467315,460.12791426875003,1.59,25,LOS=0
V,29,0,5,flow6.29,755.7631592190501,526.95545456945,4.3,9,LOS=0
V,29,0,6,flow8.26,754.0040611408,599.33505135275,1.59,25,LOS=1
V,29,0,7,flow8.27,755.8213048965,573.36736322325,1.59,25,LOS=1
V,29,0,8,flow8.30,758.4722985306,535.4857220249501,1.59,25,LOS=0
V,29,0,9,flow8.36,762.7990989136999,473.65747108515,1.59,25,LOS=0
V,30,0,0,flow12.28,760.0801335250501,512.5104015334,4.3,11,LOS=0
V,30,0,1,flow12.33,753.68681593235,651.1118211938999,1.59,25,LOS=0
V,30,0,2,flow3.33,752.80873005895,569.17306835365,1.59,25,LOS=1
V,30,0,3,flow6.24,759.0544506694,479.92421307645,1.59,25,LOS=0
V,30,0,4,flow8.22,751.337476486,637.43948201535,1.59,25,LOS=0
V,30,0,5,flow8.26,753.71326896965,603.49035544255,1.59,25,LOS=1
V,30,0,6,flow8.31,758.0696745504,541.2390580418501,3.2,25,LOS=1
V,30,0,7,flow8.36,761.6942450001,489.44539263765,1.59,25,LOS=0
V,30,0,8,flow8.38,763.5091627936999,463.51094157885,1.59,25,LOS=0
V,30,0,9,flow9.46,761.52582371005,539.1002674952999,1.59,25,LOS=0
I,31,0,0,flow10.95,795.1664117128,399.9098389175,1.59,25,LOS=0
V,31,0,1,flow12.31,750.99078712355,642.39353466435,1.59,25,LOS=0
I,31,0,2,flow12.36,841.136330993,364.21047938695,1.59,25,LOS=0
V,31,0,3,flow6.27,757.416531834,503.32941965115003,1.59,25,LOS=0
V,31,0,4,flow6.37,751.30615170525,590.64431344985,1.59,25,LOS=1
V,31,0,5,flow8.26,753.71187272915,603.51030716225,1.59,25,LOS=1
V,31,0,6,flow8.27,755.29612995835,580.87190352735,1.59,25,LOS=1
V,31,0,7,flow8.32,758.8397731484499,530.23465636995,4.3,9,LOS=0
V,31,0,8,flow8.34,760.8502404626,501.50588069319997,3.2,25,LOS=0
V,31,0,9,flow8.37,762.0381419248,484.53124280985,1.59,25,LOS=0
V,32,0,0,flow12.35,762.6429591378001,475.88864617745,1.59,25,LOS=0
V,32,0,1,flow5.58,752.6555550860501,524.0330281553499,3.2,25,LOS=1
I,32,0,2,flow5.61,781.47787179895,676.97969627115,1.59,25,LOS=0
V,32,0,3,flow6.26,761.08121557115,450.9625513762,3.2,25,LOS=1
V,32,0,4,flow8.27,755.2004007894,582.23983515245,1.59,25,LOS=1
V,32,0,5,flow8.30,757.4793117906,549.67510630505,1.59,25,LOS=1
V,32,0,6,flow8.36,761.60556438925,490.71260318024997,1.59,25,LOS=0
V,32,0,7,flow8.38,762.2975447104,480.82448051395,1.59,25,LOS=0
I,32,0,8,flow9.44,765.5452406362,670.3183650446,4.3,9,LOS=0
V,32,0,9,flow9.48,755.49701195045,625.2459368581001,1.59,25,LOS=1
I,33,0,0,flow10.99,715.1081041653,449.69916198955,1.59,25,LOS=0
V,33,0,1,flow12.39,765.2607045136,485.73256924165,1.59,25,LOS=0
V,33,0,2,flow3.34,755.1170594566,536.18796235995,1.59,25,LOS=1
V,33,0,3,flow5.61,758.715832109,437.38169879185,1.59,25,LOS=1
V,33,0,4,flow6.25,761.6744171344,442.48593774395,1.59,25,LOS=0
V,33,0,5,flow6.29,759.0657042361499,479.7634040985,4.3,18,LOS=0
I,33,0,6,flow8.21,702.02275469235,677.2072853582499,3.2,25,LOS=0
V,33,0,7,flow8.29,756.7393628487,560.24868142125,1.59,25,LOS=1
V,33,0,8,flow8.31,757.58774690605,548.1256117749,3.2,25,LOS=1
I,33,0,9,flow8.40,746.0396864572,425.43949905985,1.59,25,LOS=0
V,34,0,0,flow3.38,752.2047973618,577.80302560685,3.2,25,LOS=1
I,34,0,1,flow4.129,705.74569002715,680.4779836149501,4.3,5,LOS=0
V,34,0,2,flow6.29,759.06779867255,479.7334754382,4.3,15,LOS=0
V,34,0,3,flow6.34,756.1550332288,521.3557313405499,1.59,25,LOS=1
